player,train_rows,val_rows,test_rows,status,model_path
Keshad Johnson,10,2,3,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Keshad_Johnson.pkl
Jahmir Young,4,1,0,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jahmir_Young.pkl
Andrew Wiggins,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Andrew_Wiggins.pkl
Norman Powell,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Norman_Powell.pkl
Kasparas Jakučionis,0,0,0,skipped,
Davion Mitchell,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Davion_Mitchell.pkl
Vladislav Goldin,0,0,0,skipped,
Jericho Sims,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jericho_Sims.pkl
Myles Turner,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Myles_Turner.pkl
Gary Trent Jr.,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Gary_Trent_Jr..pkl
Kevin Porter Jr.,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Kevin_Porter_Jr..pkl
Bobby Portis,34,7,7,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Bobby_Portis.pkl
Gary Harris,33,7,7,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Gary_Harris.pkl
Taurean Prince,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Taurean_Prince.pkl
Ryan Rollins,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Ryan_Rollins.pkl
Amir Coffey,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Amir_Coffey.pkl
Kyle Kuzma,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Kyle_Kuzma.pkl
Mark Sears,0,0,0,skipped,
AJ Green,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\AJ_Green.pkl
Alex Antetokounmpo,0,0,0,skipped,
Giannis Antetokounmpo,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Giannis_Antetokounmpo.pkl
Pete Nance,8,2,2,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Pete_Nance.pkl
Thanasis Antetokounmpo,0,0,0,skipped,
Andre Jackson Jr.,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Andre_Jackson_Jr..pkl
Cole Anthony,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Cole_Anthony.pkl
Donte DiVincenzo,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Donte_DiVincenzo.pkl
